ST	abcZ	bglA	cat	dapE	dat	ldh	lhkA
431	7	15	15	78	6	14	9
432	7	15	15	8	6	166	9
433	51	58	52	24	22	123	46
434	59	11	21	24	17	164	47
435	5	6	2	7	5	6	48
436	23	10	17	30	6	2	1
437	63	59	67	79	44	167	49
438	63	63	70	82	46	171	54
439	7	6	15	18	12	172	1
440	22	33	21	83	25	123	55
441	6	64	6	4	1	4	1
442	3	7	3	10	5	6	1
443	3	9	9	7	3	1	5
444	44	40	50	59	24	122	26
445	7	10	17	20	6	26	1
446	44	60	68	80	41	168	51
447	64	61	69	81	16	169	52
448	65	62	40	33	45	170	53
449	3	1	1	1	18	28	3
450	58	41	53	73	16	156	50
451	7	5	10	21	1	4	1
452	61	5	17	30	6	6	1
453	62	57	2	77	43	163	1
454	1	1	11	11	2	90	5
455	3	1	12	3	2	94	5
456	3	1	1	1	3	127	3
457	3	1	1	1	3	120	3
458	1	1	11	11	2	120	5
459	69	10	16	7	5	2	1
460	1	1	12	17	2	12	3
461	5	8	5	7	6	85	1
462	1	1	71	11	2	173	5
463	66	33	72	84	32	159	56
464	3	1	1	1	3	1	57
465	3	18	27	3	4	174	5
466	5	10	15	85	5	7	1
467	67	65	29	63	36	178	39
468	3	1	1	1	3	175	3
469	19	17	22	25	15	176	12
470	68	1	1	1	3	1	3
471	17	13	3	6	5	177	1
473	32	11	38	27	47	34	20
474	36	21	33	86	20	180	58
475	7	66	8	87	6	181	1
476	4	4	4	3	2	182	5
477	6	5	6	4	1	183	1
478	6	5	6	4	1	184	1
479	5	8	5	7	6	185	1
480	7	15	15	6	1	2	1
481	7	6	15	18	12	186	1
482	3	31	14	3	3	5	5
483	30	8	5	7	6	2	1
484	3	1	1	1	3	187	3
485	70	67	73	88	23	188	60
486	15	10	66	18	1	189	1
487	17	13	3	6	5	190	1
488	71	68	74	48	27	191	50
489	11	9	12	3	3	1	4
490	3	18	27	3	4	28	5
491	1	9	12	17	2	1	5
492	36	21	40	45	48	179	61
493	72	21	75	35	49	192	16
494	1	1	11	11	2	193	5
495	3	1	1	1	3	194	3
496	4	4	4	3	2	131	5
497	73	5	6	4	1	4	1
498	7	6	15	18	12	195	1
499	4	4	4	3	50	1	5
500	4	4	4	3	2	30	5
501	5	10	8	21	6	196	1
502	3	1	1	1	3	141	3
503	1	1	11	11	2	197	5
504	7	66	8	87	6	37	1
505	18	11	21	89	17	35	13
506	1	3	48	90	3	1	4
507	7	6	15	6	5	41	1
508	7	13	19	6	1	198	1
509	74	69	76	91	51	199	24
510	6	5	6	4	1	200	1
511	5	8	5	7	6	2	62
512	75	70	77	92	27	201	63
513	7	13	19	6	1	202	1
514	7	5	3	18	1	7	1
515	3	1	1	39	3	1	3
516	7	15	15	8	6	203	9
517	11	3	4	26	3	1	4
518	7	6	17	18	6	6	1
519	5	8	5	7	6	16	1
520	3	18	27	3	4	106	23
521	8	6	15	6	6	16	1
522	17	13	3	6	5	204	1
523	58	32	78	73	16	205	64
524	76	71	79	93	52	206	50
525	77	4	4	3	2	1	5
527	78	23	80	94	45	69	65
529	25	73	82	96	45	211	67
530	28	62	40	97	45	214	53
531	1	2	12	98	2	5	3
532	79	21	83	33	45	213	17
533	80	74	85	99	53	208	69
534	9	6	15	6	8	26	1
536	26	21	30	33	55	69	17
